Ano,Código da IES,Nome da IES,Sigla da IES,Organização Acadêmica,Categoria Administrativa,Código do Curso,Código da Área,Área de Enquadramento,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Bruta - CE,Nota Contínua do Enade,Concluintes Participantes com nota no Enem,Percentual de Concluintes participantes com nota no Enem,Nota Bruta - IDD,Nota Padronizada - IDD,Nota Bruta - Organização Didático-Pedagógica,Nota Padronizada - Organização Didático-Pedagógica,Nota Bruta - Infraestrutura e Instalações Físicas,Nota Padronizada - Infraestrutura e Instalações Físicas,Nota Bruta - Oportunidades de Ampliação da Formação,Nota Padronizada - Oportunidades de Ampliação da Formação,Nr. de Docentes,Nota Bruta - Mestres,Nota Padronizada - Mestres,Nota Bruta - Doutores,Nota Padronizada - Doutores,Nota Bruta - Regime de Trabalho,Nota Padronizada - Regime de Trabalho,CPC Contínuo,CPC Faixa,Observação
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100804,23,ENFERMAGEM,Educação Presencial,5107602,RONDONÓPOLIS,MT,25,22,43.0318,43.3727,2.4705,21,0.9545,-1.0525,2.0082,4.7404,0.2729,4.0636,0.8056,3.3035,0.3775,28,0.7857,3.5484,0.3929,1.9643,1.0000,5.0000,2.2029,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100928,23,ENFERMAGEM,Educação Presencial,5106653,PONTAL DO ARAGUAIA,MT,15,11,48.7727,48.1182,3.1728,11,1.0000,0.9389,2.9456,4.9473,1.0491,3.9378,0.5331,4.6007,2.6012,27,0.9630,4.7491,0.6667,3.3333,1.0000,5.0000,3.0671,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,20,28,NUTRIÇÃO,Educação Presencial,5103403,CUIABÁ,MT,19,18,54.5944,60.8167,3.7624,18,1.0000,0.3282,2.5919,5.0749,1.5856,4.3318,1.0780,4.3333,2.1520,54,0.8889,3.7963,0.6296,3.1481,1.0000,5.0000,3.0182,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,7,38,SERVIÇO SOCIAL,Educação Presencial,5103403,CUIABÁ,MT,34,32,39.3125,59.6500,3.1090,32,1.0000,-1.3751,2.0024,4.7706,0.0000,3.5405,0.6856,3.5319,1.2445,41,0.8537,3.9547,0.5122,2.5610,1.0000,5.0000,2.4438,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,62906,51,ZOOTECNIA,Educação Presencial,5107602,RONDONÓPOLIS,MT,20,20,48.1350,44.3200,2.9809,20,1.0000,1.0499,3.2406,5.2536,2.7855,4.5458,2.1037,4.9029,2.9377,38,0.9211,3.5789,0.8158,3.8158,1.0000,5.0000,3.3337,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,100772,51,ZOOTECNIA,Educação Presencial,5107909,SINOP,MT,31,27,46.6481,40.7481,2.5692,25,0.9259,-0.2277,2.7110,4.8363,1.5293,4.1596,1.3344,4.2389,1.6896,47,0.9149,3.4681,0.7447,3.3587,1.0000,5.0000,2.8253,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,123620,51,ZOOTECNIA,Educação Presencial,5103403,CUIABÁ,MT,16,14,48.2071,43.9643,2.9482,14,1.0000,0.3656,2.9569,5.3494,3.0741,4.9691,2.9467,5.0229,3.1633,54,0.9444,4.0000,0.7963,3.6905,1.0000,5.0000,3.3101,4,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,116648,55,BIOMEDICINA,Educação Presencial,5101803,BARRA DO GARÇAS,MT,20,18,52.0611,39.8611,2.1815,18,1.0000,-0.9695,1.9221,5.0197,1.9668,4.3926,1.2610,4.5826,2.7451,25,0.9600,4.5500,0.9600,4.8000,1.0000,5.0000,2.8245,3,
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,1168551,3501,EDUCAÇÃO FÍSICA (BACHARELADO),Educação Presencial,5103403,CUIABÁ,MT,5,4,56.7500,48.9750,3.6499,4,1.0000,1.5834,3.1954,5.8664,4.6106,5.9500,4.8980,5.9714,4.9519,29,0.8966,4.2241,0.5862,2.9310,1.0000,5.0000,3.6943,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,18031,5,MEDICINA VETERINÁRIA,Educação Presencial,5300108,BRASÍLIA,DF,97,94,54.5723,52.3383,3.3101,69,0.7340,-0.0687,2.5450,5.0356,2.6752,4.5387,2.2577,4.7006,3.1029,94,0.9681,4.5045,0.7979,3.8515,1.0000,5.0000,3.2344,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,141,6,ODONTOLOGIA,Educação Presencial,5300108,BRASÍLIA,DF,54,54,62.6815,64.1796,3.7048,46,0.8519,0.8354,3.3520,5.1255,1.5069,4.1901,1.4297,5.0279,3.2087,89,0.9551,4.5185,0.7978,3.9888,1.0000,5.0000,3.4911,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,140,12,MEDICINA,Educação Presencial,5300108,BRASÍLIA,DF,89,85,63.0059,68.9306,2.9903,66,0.7765,-0.0997,2.8169,4.8821,1.9944,4.5106,2.3374,5.0350,3.3720,135,0.9778,4.8499,0.7778,3.8648,1.0000,5.0000,3.2532,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,135,17,AGRONOMIA,Educação Presencial,5300108,BRASÍLIA,DF,113,86,52.1267,64.2465,3.3108,60,0.6977,1.1513,3.5517,4.7978,1.2949,4.3322,2.0102,4.6693,2.7239,159,0.9748,4.7035,0.8616,4.2718,1.0000,5.0000,3.5395,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,18030,19,FARMÁCIA,Educação Presencial,5300108,BRASÍLIA,DF,57,54,49.2222,56.9722,3.1411,39,0.7222,-0.2393,2.3094,4.4029,0.1665,3.5896,0.0000,4.5071,2.5430,133,0.9774,4.7539,0.8496,4.2481,1.0000,5.0000,2.8814,3,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,112794,19,FARMÁCIA,Educação Presencial,5300108,BRASÍLIA,DF,77,77,55.6519,64.4610,4.1098,59,0.7662,0.5241,2.6413,5.6846,4.0455,5.5563,4.0797,5.6292,4.3897,94,1.0000,5.0000,0.8936,4.4681,1.0000,5.0000,3.7838,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,1140088,19,FARMÁCIA,Educação Presencial,5300108,BRASÍLIA,DF,29,26,53.3192,58.7654,3.4635,20,0.7692,-0.4153,2.2329,4.7702,1.2782,3.8387,0.5166,4.6574,2.7904,215,0.9814,4.7970,0.8651,4.3256,1.0000,5.0000,3.0493,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,143,23,ENFERMAGEM,Educação Presencial,5300108,BRASÍLIA,DF,55,51,52.5941,54.6824,4.0063,38,0.7451,0.1672,2.5823,4.8222,0.5796,4.0149,0.7001,4.4601,2.3601,224,0.9821,4.8790,0.8839,4.4196,1.0000,5.0000,3.2464,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,112818,23,ENFERMAGEM,Educação Presencial,5300108,BRASÍLIA,DF,65,62,54.5484,56.0935,4.2234,50,0.8065,0.4364,2.7090,5.5006,3.1257,5.3301,3.5489,5.2548,3.7225,112,0.9911,4.9395,0.8125,4.0625,1.0000,5.0000,3.6526,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,1192419,27,FONOAUDIOLOGIA,Educação Presencial,5300108,BRASÍLIA,DF,12,12,61.4000,63.1583,3.8637,11,0.9167,2.2355,3.3556,5.5443,3.2101,5.2210,3.5087,5.1242,3.3049,50,1.0000,5.0000,0.9000,4.4773,1.0000,5.0000,3.8676,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,144,28,NUTRIÇÃO,Educação Presencial,5300108,BRASÍLIA,DF,60,49,57.7898,66.0347,4.3065,35,0.7143,0.6107,2.7193,5.0864,1.6281,4.4032,1.2458,4.7370,2.8417,114,0.9561,4.5249,0.8070,4.0351,1.0000,5.0000,3.3881,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,112796,36,FISIOTERAPIA,Educação Presencial,5300108,BRASÍLIA,DF,57,55,55.5727,48.9655,4.1928,40,0.7273,0.3802,2.6559,5.4527,2.7813,5.2798,3.1994,5.2686,3.6840,96,1.0000,5.0000,0.8542,4.2708,1.0000,5.0000,3.6194,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,126,38,SERVIÇO SOCIAL,Educação Presencial,5300108,BRASÍLIA,DF,79,63,53.7143,69.8540,4.3748,54,0.8571,0.3152,2.7912,5.1982,1.7388,4.3433,2.0938,4.0355,2.0109,90,0.9667,4.7619,0.8000,4.0000,1.0000,5.0000,3.4694,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,1138344,38,SERVIÇO SOCIAL,Educação Presencial,5300108,BRASÍLIA,DF,62,48,49.1375,67.5354,4.0416,35,0.7292,-1.4282,1.9777,5.2376,1.8992,4.1991,1.8409,3.8714,1.7611,73,0.9726,4.8043,0.8082,4.0411,1.0000,5.0000,3.1205,4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,1192413,3501,EDUCAÇÃO FÍSICA (BACHARELADO),Educação Presencial,5300108,BRASÍLIA,DF,53,37,51.0351,56.6297,4.2899,24,0.6486,0.4748,2.6870,4.7148,1.2545,4.1347,1.1951,4.6618,2.7450,47,0.9574,4.6809,0.8936,4.4681,1.0000,5.0000,3.4172,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108067,5,MEDICINA VETERINÁRIA,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,41,41,49.1463,55.2024,3.4965,30,0.7317,0.1991,2.7466,4.4664,1.3031,3.9173,1.0916,4.0307,2.1247,39,0.9744,4.6019,0.8718,4.2716,1.0000,5.0000,3.2269,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,304,6,ODONTOLOGIA,Educação Presencial,2800308,ARACAJU,SE,46,46,53.0478,61.4370,3.0487,38,0.8261,-0.4020,2.0476,4.8971,0.5944,3.9551,0.9661,4.0743,1.4515,56,0.9643,4.6173,0.8393,4.1964,1.0000,5.0000,2.8063,3,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,303,12,MEDICINA,Educação Presencial,2800308,ARACAJU,SE,53,53,59.4943,67.9868,2.6549,39,0.7358,0.3088,3.2623,4.7536,1.6489,4.1009,1.6050,4.1624,1.8998,138,0.8913,4.2660,0.6377,3.1418,1.0000,5.0000,3.0904,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,319,17,AGRONOMIA,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,25,24,51.8500,62.5042,3.1082,4,0.1667,,3.1082,4.7705,1.2107,4.3395,2.0232,4.5031,2.4396,60,0.9500,4.4107,0.8833,4.3860,1.0000,5.0000,3.3262,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,98609,19,FARMÁCIA,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,75,70,47.2686,57.6543,3.1396,54,0.7714,0.2252,2.5113,4.8805,1.6120,4.3918,1.6640,4.8014,3.0274,64,0.9688,4.6591,0.9219,4.6094,1.0000,5.0000,3.2025,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108154,19,FARMÁCIA,Educação Presencial,2803500,LAGARTO,SE,27,26,41.8308,51.7615,2.3641,23,0.8846,-0.3921,2.2430,5.5201,3.5476,4.6329,2.1641,4.5280,2.5775,39,1.0000,5.0000,0.7692,3.8462,1.0000,5.0000,3.0235,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,302,23,ENFERMAGEM,Educação Presencial,2800308,ARACAJU,SE,89,68,49.0029,51.2397,3.5160,63,0.9265,-1.3016,1.8909,4.9660,1.1193,4.1434,0.9784,4.0798,1.7082,82,0.8415,3.9260,0.6951,3.4756,1.0000,5.0000,2.7314,3,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108149,23,ENFERMAGEM,Educação Presencial,2803500,LAGARTO,SE,35,35,51.7943,58.1429,4.3513,31,0.8857,1.8621,3.3801,5.6436,3.6624,5.0416,2.9240,4.9233,3.1542,42,0.9048,4.3548,0.5000,2.5000,1.0000,5.0000,3.6296,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,99413,27,FONOAUDIOLOGIA,Educação Presencial,2800308,ARACAJU,SE,37,35,47.3257,51.1086,1.6957,29,0.8286,-2.2995,1.2498,5.0691,1.3437,4.4641,2.0598,4.5917,2.2743,35,0.8857,3.6857,0.6286,3.0584,1.0000,5.0000,2.1474,3,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108170,27,FONOAUDIOLOGIA,Educação Presencial,2803500,LAGARTO,SE,38,30,39.4600,55.5033,1.9936,30,1.0000,-0.2036,2.2230,5.4132,2.6952,4.9026,2.8992,4.6530,2.3929,37,0.9730,4.6892,0.6757,3.3047,1.0000,5.0000,2.8061,3,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,99404,28,NUTRIÇÃO,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,53,43,50.1326,56.9930,3.2929,39,0.9070,0.0856,2.4825,5.4083,2.8163,4.9925,2.6314,4.9711,3.2419,38,0.9737,4.7149,0.8421,4.2105,1.0000,5.0000,3.3115,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108158,28,NUTRIÇÃO,Educação Presencial,2803500,LAGARTO,SE,23,22,59.8000,64.4864,4.2437,22,1.0000,1.9639,3.3295,5.6502,3.7090,4.9651,2.5669,4.5762,2.5670,45,0.9333,4.2778,0.5111,2.5556,1.0000,5.0000,3.5639,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,99411,36,FISIOTERAPIA,Educação Presencial,2800308,ARACAJU,SE,52,47,51.8617,48.9128,4.0582,40,0.8511,0.3820,2.6567,4.8315,0.2630,4.2876,0.7189,4.4722,2.2510,35,0.8857,4.0476,0.7714,3.8571,1.0000,5.0000,3.1106,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,1108163,36,FISIOTERAPIA,Educação Presencial,2803500,LAGARTO,SE,35,33,46.2000,46.1909,3.5662,29,0.8788,0.5531,2.7330,5.7309,3.9092,5.1154,2.7884,5.0088,3.2165,47,0.9362,4.4681,0.6170,3.0851,1.0000,5.0000,3.3557,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,64064,38,SERVIÇO SOCIAL,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,83,65,41.4400,59.2508,3.1534,45,0.6923,-1.9851,1.7178,5.2801,2.0722,4.0898,1.6492,3.9807,1.9274,38,1.0000,5.0000,0.6053,3.0263,1.0000,5.0000,2.7219,3,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,94033,51,ZOOTECNIA,Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,46,40,36.6525,39.4625,2.0631,21,0.5250,1.0111,3.2245,4.9132,1.7607,4.4578,1.9284,4.2931,1.7916,49,0.9592,4.2653,0.8571,4.0816,1.0000,5.0000,3.1216,4,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,99423,3501,EDUCAÇÃO FÍSICA (BACHARELADO),Educação Presencial,2806701,SÃO CRISTÓVÃO,SE,25,18,42.4056,44.0222,2.4949,8,0.4444,-2.2195,1.4515,5.1187,2.4316,4.5495,2.0413,4.7751,2.9358,30,0.8333,3.7500,0.6333,3.1667,1.0000,5.0000,2.4961,3,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,391,6,ODONTOLOGIA,Educação Presencial,1302603,MANAUS,AM,23,23,55.0391,72.0130,4.2102,18,0.7826,1.3630,3.9084,5.1266,1.5111,4.3804,1.8052,4.2222,1.7240,51,0.9804,4.7899,0.8431,4.2157,1.0000,5.0000,3.8233,4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,389,12,MEDICINA,Educação Presencial,1302603,MANAUS,AM,36,35,66.7086,66.1286,2.7929,34,0.9714,-0.1420,2.7708,4.6089,1.2599,3.7206,0.9251,4.4680,2.4155,159,0.5849,2.1968,0.3711,1.7660,1.0000,5.0000,2.5341,3,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,399,17,AGRONOMIA,Educação Presencial,1302603,MANAUS,AM,15,15,50.7600,54.8000,2.2176,9,0.6000,2.2994,4.2453,4.4545,0.2368,4.1843,1.7451,4.4889,2.4153,56,0.9107,3.9477,0.7679,3.7782,1.0000,5.0000,3.3326,4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,101620,17,AGRONOMIA,Educação Presencial,1301704,HUMAITÁ,AM,16,15,39.4867,49.4400,1.1839,2,0.1333,,1.1839,5.2660,2.7380,4.5469,2.3950,4.9744,3.2458,26,0.6538,0.9203,0.4231,1.9636,1.0000,5.0000,1.7960,2,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,390,19,FARMÁCIA,Educação Presencial,1302603,MANAUS,AM,28,28,58.0607,59.5000,3.7037,27,0.9643,0.0421,2.4318,4.9619,1.8583,4.5480,1.9880,4.7189,2.8916,53,0.8113,2.9417,0.6038,3.0189,1.0000,5.0000,2.9514,4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,112090,19,FARMÁCIA,Educação Presencial,1301902,ITACOATIARA,AM,22,22,49.1727,44.5909,1.9137,7,0.3182,-2.0916,1.5042,5.2789,2.8177,4.6260,2.1499,4.6712,2.8131,28,0.8214,3.0519,0.6786,3.3929,1.0000,5.0000,2.4112,3,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,2133,23,ENFERMAGEM,Educação Presencial,1302603,MANAUS,AM,39,37,51.5973,53.0541,3.7979,29,0.7838,0.4032,2.6934,5.4320,2.8682,5.3042,3.4929,5.2409,3.6987,54,0.8333,3.8710,0.4815,2.4074,1.0000,5.0000,3.2109,4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,101653,23,ENFERMAGEM,Educação Presencial,1301209,COARI,AM,21,21,49.0905,40.9476,2.4129,16,0.7619,0.2109,2.6029,5.5072,3.1507,4.7496,2.2916,5.1905,3.6122,31,0.4839,1.5036,0.1935,0.9677,1.0000,5.0000,2.4677,3,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,101645,28,NUTRIÇÃO,Educação Presencial,1301209,COARI,AM,8,6,35.7667,38.1833,1.2367,4,0.6667,-3.7105,0.7707,5.3043,2.4326,4.9957,2.6388,4.7585,2.8785,26,0.5385,0.0000,0.2308,1.1538,1.0000,5.0000,1.4515,2,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,101651,36,FISIOTERAPIA,Educação Presencial,1301209,COARI,AM,15,15,45.4867,31.2733,1.9224,11,0.7333,-1.0324,2.0252,5.3696,2.4442,4.6786,1.6964,4.6966,2.6547,35,0.4857,0.7143,0.2286,1.1429,1.0000,5.0000,2.0278,3,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,112290,36,FISIOTERAPIA,Educação Presencial,1302603,MANAUS,AM,22,21,54.3524,46.7429,3.9092,19,0.9048,0.5035,2.7109,5.4223,2.6581,4.5747,1.4367,4.8932,3.0085,35,0.8000,3.3333,0.4286,2.1429,1.0000,5.0000,3.0235,4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,377,38,SERVIÇO SOCIAL,Educação Presencial,1302603,MANAUS,AM,96,84,51.4750,62.0393,3.7122,76,0.9048,0.2049,2.7397,5.5390,3.1252,4.0421,1.5656,4.0435,2.0230,50,0.8600,4.0000,0.2600,1.3000,1.0000,5.0000,2.9346,3,
