Ano,Código da Área,Área de Enquadramento,Código da IES,Nome da IES,Sigla da IES,Categoria Administrativa,Organização Acadêmica,Código do Município,Município do Curso,UF do curso,Região do curso,Número de cursos da unidade,Concluintes Inscritos,Concluintes Participantes,Nota Bruta - FG,Nota Bruta - CE,Nota Bruta - Geral,Nota Contínua do Enade,Nota Bruta - Organização Didático-Pedagógica,Nota Padronizada - Organização Didático-Pedagógica,Nota Bruta - Infraestrutura e Instalações Físicas,Nota Padronizada - Infraestrutura e Instalações Físicas,Nota Bruta - Oportunidades de Ampliação da Formação,Nota Padronizada - Oportunidades de Ampliação da Formação,Concluintes Participantes com nota no Enem,Percentual de Concluintes participantes com nota no Enem,Nota Bruta - IDD,Nota Padronizada - IDD,Nr. de Docentes,Nr. de Matrículas,Nota Bruta - Mestres,Nota Padronizada - Mestres,Nota Bruta - Doutores,Nota Padronizada - Doutores,Nota Bruta - Regime de Trabalho,Nota Padronizada - Regime de Trabalho,CPC Contínuo,CPC Faixa,Observação
2014,21,ARQUITETURA E URBANISMO,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Privada sem fins lucrativos,Universidade,3509502,CAMPINAS,SP,Sudeste,1,152,148,61.3041,44.7277,48.8824,2.4744,4.9968,2.4424,4.7329,2.7782,4.7783,3.0902,68,45.9%,-0.3114,2.6593,65,832,0.8923,4.1026,0.4615,2.6250,0.4615,1.9712,2.6743,3,
2014,21,ARQUITETURA E URBANISMO,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Privada sem fins lucrativos,Universidade,4314100,PASSO FUNDO,RS,Sul,1,131,121,56.1050,42.2273,45.7091,1.9566,4.7979,1.9354,4.7312,2.7751,4.9065,3.2906,60,49.6%,-0.1539,2.7412,60,556,0.8167,3.4722,0.2500,1.4219,0.6500,3.0313,2.4180,3,
2014,21,ARQUITETURA E URBANISMO,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Privada sem fins lucrativos,Universidade,4314902,PORTO ALEGRE,RS,Sul,1,159,155,57.0774,48.2632,50.4794,2.8023,4.8086,1.9626,4.6125,2.5670,4.5976,2.8078,37,23.9%,0.6994,3.1849,68,678,0.8971,4.1422,0.3676,2.0910,0.7500,3.5938,2.9148,3,
2014,21,ARQUITETURA E URBANISMO,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,Universidade,3550308,SAO PAULO,SP,Sudeste,1,328,307,65.7528,50.9990,54.7013,3.4733,4.8121,1.9715,4.2911,2.0035,4.6466,2.8843,79,25.7%,-0.0803,2.7795,159,"2,216",0.9308,4.4235,0.5094,2.8974,0.6164,2.8420,2.9671,4,
2014,21,ARQUITETURA E URBANISMO,23,UNIVERSIDADE FEEVALE,FEEVALE,Privada sem fins lucrativos,Universidade,4313409,NOVO HAMBURGO,RS,Sul,1,74,72,54.5097,41.6472,44.8764,1.8229,5.2192,3.0096,5.2865,3.7489,4.9378,3.3396,0,0.0%,,1.8229,40,697,1.0000,5.0000,0.1250,0.7109,0.9750,4.8594,2.3453,3,
2014,21,ARQUITETURA E URBANISMO,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Pessoa Jurídica de Direito Público - Estadual,Universidade,4209409,LAGUNA,SC,Sul,1,106,96,64.8156,52.8240,55.8375,3.6860,4.8498,2.0678,4.7184,2.7527,4.6009,2.8129,48,50.0%,0.7853,3.2296,25,518,0.8000,3.3333,0.0800,0.4550,0.2800,0.9500,2.6201,3,
2014,21,ARQUITETURA E URBANISMO,47,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Pessoa Jurídica de Direito Público - Estadual,Universidade,5201108,ANAPOLIS,GO,Centro-Oeste,1,105,99,61.2646,48.3424,51.5869,2.9592,4.7025,1.6922,3.3356,0.3279,3.8506,1.6401,48,48.5%,-0.6827,2.4663,39,314,0.5128,0.9402,0.2821,1.6042,1.0000,5.0000,2.3255,3,
2014,21,ARQUITETURA E URBANISMO,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Pessoa Jurídica de Direito Público - Estadual,Universidade,3509502,CAMPINAS,SP,Sudeste,1,65,60,3.0317,2.0250,2.2767,0.0000,4.6670,1.6017,4.6005,2.5460,4.9231,3.3166,2,3.3%,,0.0000,91,201,0.9121,4.2674,0.8791,5.0000,1.0000,5.0000,1.7754,2,
2014,21,ARQUITETURA E URBANISMO,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pessoa Jurídica de Direito Público - Estadual,Universidade,3506003,BAURU,SP,Sudeste,1,52,43,57.7953,47.2907,49.9326,2.6966,4.4440,1.0333,3.3249,0.3092,4.6051,2.8195,31,72.1%,-5.4261,0.0000,43,217,0.9535,4.6124,0.7907,4.4971,0.7907,3.8227,2.0100,3,
2014,21,ARQUITETURA E URBANISMO,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Pessoa Jurídica de Direito Público - Estadual,Universidade,3541406,PRESIDENTE PRUDENTE,SP,Sudeste,1,52,46,66.3630,57.0217,59.3717,4.3046,4.6748,1.6216,4.2686,1.9640,4.5308,2.7033,29,63.0%,0.6309,3.1493,37,232,0.9459,4.5495,0.7027,3.9966,0.7297,3.4797,3.4523,4,
2014,21,ARQUITETURA E URBANISMO,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Pessoa Jurídica de Direito Público - Estadual,Universidade,4115200,MARINGA,PR,Sul,1,43,43,57.8256,48.3860,50.7488,2.8450,4.0910,0.1333,3.1486,0.0000,3.8471,1.6345,10,23.3%,-5.1678,0.1343,40,215,0.8250,3.5417,0.4750,2.7016,1.0000,5.0000,1.7127,2,
2014,21,ARQUITETURA E URBANISMO,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Pessoa Jurídica de Direito Público - Municipal,Universidade,4202404,BLUMENAU,SC,Sul,1,70,67,56.3015,45.1567,47.9597,2.3574,4.9915,2.4290,4.9915,3.2316,4.8839,3.2552,20,29.9%,-0.2272,2.7031,59,494,0.8305,3.5876,0.2542,1.4460,0.3559,1.3771,2.4320,3,
2014,21,ARQUITETURA E URBANISMO,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Pessoa Jurídica de Direito Público - Municipal,Universidade,4217204,SAO MIGUEL D´OESTE,SC,Sul,1,49,48,56.8104,43.7125,47.0042,2.1810,5.0833,2.6629,5.1779,3.5584,4.9802,3.4058,25,52.1%,0.6844,3.1771,27,219,0.5926,1.6049,0.1111,0.6319,0.7407,3.5417,2.4918,3,
2014,21,ARQUITETURA E URBANISMO,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Pessoa Jurídica de Direito Público - Municipal,Universidade,4219507,XANXERE,SC,Sul,1,41,35,54.5514,40.2143,43.8171,1.6316,5.5636,3.8875,5.5482,4.2077,5.4008,4.0633,16,45.7%,0.7795,3.2266,23,190,0.6087,1.7391,0.1304,0.7418,0.6087,2.7989,2.5108,3,
2014,21,ARQUITETURA E URBANISMO,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,Universidade,4202008,BALNEARIO CAMBORIU,SC,Sul,1,123,104,53.8413,40.5067,43.8548,1.6461,4.8263,2.0078,4.5775,2.5056,4.6376,2.8702,21,20.2%,-1.7597,1.9063,96,763,0.7292,2.7431,0.1771,1.0072,0.9063,4.4727,2.0363,3,
2014,21,ARQUITETURA E URBANISMO,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Pessoa Jurídica de Direito Público - Federal,Universidade,3162500,SAO JOAO DEL REI,MG,Sudeste,1,52,38,63.4632,49.3684,52.9079,3.1740,4.9874,2.4186,4.1941,1.8333,4.5551,2.7413,19,50.0%,-0.8578,2.3752,27,340,0.9259,4.3827,0.5185,2.9491,1.0000,5.0000,2.9538,4,
2014,21,ARQUITETURA E URBANISMO,124,CENTRO UNIVERSITÁRIO DE ARARAQUARA,UNIARA,Privada sem fins lucrativos,Centro Universitário,3503208,ARARAQUARA,SP,Sudeste,1,54,45,54.4222,39.9089,43.5467,1.5860,5.1492,2.8310,4.6973,2.7156,3.7250,1.4437,15,33.3%,-2.1523,1.7022,25,349,0.6800,2.3333,0.2800,1.5925,0.4800,2.0750,1.8667,2,
2014,21,ARQUITETURA E URBANISMO,125,"CENTRO UNIVERSITÁRIO DE ARARAS - ""DR. EDMUNDO ULSON""",UNAR,Privada sem fins lucrativos,Centro Universitário,3503307,ARARAS,SP,Sudeste,1,29,24,54.5667,38.4167,42.4625,1.3904,5.3297,3.2912,4.8448,2.9744,4.4554,2.5854,7,29.2%,-2.2080,1.6732,18,145,0.7778,3.1481,0.2222,1.2639,0.5000,2.1875,,,Unidade sem curso(s) reconhecido(s) até 31/12/2014
2014,21,ARQUITETURA E URBANISMO,137,UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,Privada sem fins lucrativos,Universidade,3506003,BAURU,SP,Sudeste,1,66,63,58.7206,43.6317,47.4190,2.2368,4.9290,2.2697,4.8878,3.0498,4.7256,3.0078,26,41.3%,0.0767,2.8611,21,561,1.0000,5.0000,0.8095,4.6042,0.9048,4.4643,3.2471,4,
2014,21,ARQUITETURA E URBANISMO,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,Centro Universitário,3543402,RIBEIRAO PRETO,SP,Sudeste,1,78,70,56.8986,41.9443,45.6943,1.9462,4.5934,1.4140,3.8850,1.2912,4.0307,1.9215,30,42.9%,-1.7001,1.9373,29,264,0.8276,3.5632,0.3103,1.7651,0.5862,2.6724,2.0184,3,
2014,21,ARQUITETURA E URBANISMO,142,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Privada sem fins lucrativos,Centro Universitário,3170206,UBERLANDIA,MG,Sudeste,1,59,55,60.1927,45.2945,49.0327,2.5119,5.2571,3.1061,4.9691,3.1922,4.6021,2.8147,31,56.4%,0.4366,3.0483,24,507,0.8750,3.9583,0.5000,2.8438,0.7083,3.3594,3.0076,4,
2014,21,ARQUITETURA E URBANISMO,143,UNIVERSIDADE DE UBERABA,UNIUBE,Privada sem fins lucrativos,Universidade,3170107,UBERABA,MG,Sudeste,1,49,47,63.0319,47.8234,51.6404,2.9511,4.9762,2.3899,4.0893,1.6496,4.2293,2.2319,14,29.8%,2.5550,4.1497,20,383,0.8500,3.7500,0.2500,1.4219,0.3500,1.3438,2.9555,4,
2014,21,ARQUITETURA E URBANISMO,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Privada com fins lucrativos,Centro Universitário,3549805,SAO JOSE DO RIO PRETO,SP,Sudeste,1,47,38,57.3842,48.1921,50.5000,2.8035,5.3791,3.4171,5.0406,3.3176,4.7966,3.1188,18,47.4%,2.9268,4.3431,37,549,0.7297,2.7477,0.1351,0.7686,0.5135,2.2635,3.0720,4,
2014,21,ARQUITETURA E URBANISMO,150,UNIVERSIDADE DE SOROCABA,UNISO,Privada sem fins lucrativos,Universidade,3552205,SOROCABA,SP,Sudeste,1,62,62,54.1935,44.0097,46.5710,2.1295,5.1356,2.7963,4.6698,2.6674,5.1761,3.7121,35,56.5%,0.6846,3.1772,50,861,0.7600,3.0000,0.2000,1.1375,0.3200,1.1750,2.4576,3,
2014,21,ARQUITETURA E URBANISMO,162,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,Privada sem fins lucrativos,Centro Universitário,3550308,SAO PAULO,SP,Sudeste,1,327,275,55.3116,41.0931,44.6589,1.7763,5.3930,3.4525,5.2219,3.6355,5.0968,3.5881,62,22.5%,-0.6414,2.4877,68,"1,474",0.7941,3.2843,0.3235,1.8401,0.4412,1.8566,2.4180,3,
2014,21,ARQUITETURA E URBANISMO,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Privada com fins lucrativos,Universidade,3304557,RIO DE JANEIRO,RJ,Sudeste,1,37,36,62.7611,45.2750,49.6583,2.5989,5.1500,2.8331,4.7905,2.8792,4.3371,2.4006,2,5.6%,,2.5989,77,"1,125",0.8961,4.1342,0.4935,2.8068,0.7922,3.8312,2.8643,3,
2014,21,ARQUITETURA E URBANISMO,203,UNIVERSIDADE SÃO JUDAS TADEU,USJT,Privada com fins lucrativos,Universidade,3550308,SAO PAULO,SP,Sudeste,1,112,108,59.5741,47.1370,50.2593,2.7381,5.2979,3.2100,4.9128,3.0937,4.5393,2.7166,59,54.6%,0.1376,2.8928,72,"1,107",0.9722,4.7685,0.5000,2.8438,0.4444,1.8750,2.9483,4,
2014,21,ARQUITETURA E URBANISMO,207,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Privada sem fins lucrativos,Centro Universitário,3543402,RIBEIRAO PRETO,SP,Sudeste,1,71,65,52.9123,41.4431,44.3215,1.7396,5.3457,3.3319,4.9684,3.1911,4.5738,2.7705,14,21.5%,-1.2379,2.1776,35,568,0.9429,4.5238,0.3143,1.7875,0.3143,1.1429,2.2819,3,
2014,21,ARQUITETURA E URBANISMO,216,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Privada sem fins lucrativos,Centro Universitário,3106200,BELO HORIZONTE,MG,Sudeste,2,232,188,55.1649,43.6947,46.5755,2.1211,4.8934,2.1788,4.2838,1.9906,4.0562,1.9614,97,51.6%,-0.2746,2.6785,134,970,0.8209,3.5075,0.1119,0.6367,0.2687,0.8862,2.0987,3,
2014,21,ARQUITETURA E URBANISMO,221,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,Universidade,3550308,SAO PAULO,SP,Sudeste,1,89,84,50.5571,33.8012,38.0048,0.6296,4.4088,0.9434,3.9331,1.3756,3.3851,0.9123,27,32.1%,-2.7341,1.3997,18,625,0.9444,4.5370,0.3333,1.8958,0.8333,4.0625,1.7075,2,
2014,21,ARQUITETURA E URBANISMO,222,CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,Privada sem fins lucrativos,Centro Universitário,3557105,VOTUPORANGA,SP,Sudeste,1,50,48,51.3708,41.1188,43.7000,1.6422,4.8231,1.9997,5.1651,3.5360,4.0643,1.9740,30,62.5%,0.3613,3.0091,16,406,0.8125,3.4375,0.5000,2.8438,0.8125,3.9453,2.7380,3,
2014,21,ARQUITETURA E URBANISMO,227,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,Privada sem fins lucrativos,Universidade,3548500,SANTOS,SP,Sudeste,1,60,58,57.0466,37.4517,42.3776,1.3472,5.2594,3.1121,4.8745,3.0265,4.8867,3.2597,17,29.3%,0.6670,3.1681,51,425,0.8824,4.0196,0.4314,2.4534,0.7843,3.7868,2.7980,3,
2014,21,ARQUITETURA E URBANISMO,240,UNIVERSIDADE SANTA ÚRSULA,USU,Privada sem fins lucrativos,Universidade,3304557,RIO DE JANEIRO,RJ,Sudeste,1,101,93,59.1753,42.1054,46.3882,2.0474,5.4407,3.5742,5.0702,3.3695,4.6813,2.9386,18,19.4%,,2.0474,17,277,0.7647,3.0392,0.3529,2.0074,0.4118,1.6912,2.2920,3,
2014,21,ARQUITETURA E URBANISMO,265,FACULDADES INTEGRADAS DE OURINHOS,FIO,Privada sem fins lucrativos,Faculdade ,3534708,OURINHOS,SP,Sudeste,1,38,37,60.6162,44.5189,48.5595,2.4223,5.5365,3.8185,5.4595,4.0523,5.0680,3.5430,7,18.9%,,2.4223,31,367,0.6129,1.7742,0.2581,1.4677,0.8387,4.0927,2.5700,3,
2014,21,ARQUITETURA E URBANISMO,266,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,Privada sem fins lucrativos,Universidade,3545803,SANTA BARBARA D´OESTE,SP,Sudeste,1,56,52,61.3942,43.8519,48.2481,2.3598,5.3756,3.4082,5.1336,3.4808,4.8964,3.2748,27,51.9%,0.6623,3.1656,27,284,0.9630,4.6914,0.3704,2.1065,0.3704,1.4583,2.8687,3,
2014,21,ARQUITETURA E URBANISMO,269,FACULDADE FACCAT,FACCAT,Privada com fins lucrativos,Faculdade ,3555000,TUPA,SP,Sudeste,1,34,28,55.8857,37.3786,42.0250,1.2968,5.4951,3.7128,5.5065,4.1346,4.9886,3.4190,15,53.6%,-0.6023,2.5081,15,250,0.4667,0.5556,0.4000,2.2750,0.3333,1.2500,2.1845,3,
2014,21,ARQUITETURA E URBANISMO,271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Privada sem fins lucrativos,Universidade,3541406,PRESIDENTE PRUDENTE,SP,Sudeste,1,52,48,60.4792,40.5625,45.5542,1.8854,5.5212,3.7793,5.6282,4.3480,5.2235,3.7862,21,43.8%,-0.3364,2.6463,50,534,0.9200,4.3333,0.5200,2.9575,0.9800,4.8875,3.0340,4,
2014,21,ARQUITETURA E URBANISMO,275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Privada sem fins lucrativos,Universidade,3549904,SAO JOSE DOS CAMPOS,SP,Sudeste,1,62,59,62.0186,44.7305,49.0678,2.4998,5.0473,2.5713,4.6086,2.5601,4.2177,2.2138,22,37.3%,0.9865,3.3342,29,233,0.8621,3.8506,0.5172,2.9418,0.5172,2.2845,2.9445,3,
2014,21,ARQUITETURA E URBANISMO,277,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,Privada sem fins lucrativos,Centro Universitário,3304557,RIO DE JANEIRO,RJ,Sudeste,1,145,115,51.1861,39.1487,42.1670,1.3707,5.5200,3.7762,5.4255,3.9927,5.1232,3.6293,16,13.9%,,1.3707,51,921,0.7255,2.7124,0.2549,1.4498,0.4314,1.8015,1.8835,2,
2014,21,ARQUITETURA E URBANISMO,295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Privada sem fins lucrativos,Universidade,4316808,SANTA CRUZ DO SUL,RS,Sul,1,49,49,57.3306,45.2449,48.2816,2.4052,4.9095,2.2198,4.8483,2.9805,4.3758,2.4610,5,10.2%,,2.4052,31,266,1.0000,5.0000,0.1935,1.1008,0.5161,2.2782,2.4109,3,
2014,21,ARQUITETURA E URBANISMO,296,UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,Privada sem fins lucrativos,Universidade,4301602,BAGE,RS,Sul,1,18,16,56.3000,39.8188,43.9438,1.6395,5.5096,3.7499,5.0775,3.3823,4.6471,2.8850,4,25.0%,-1.0020,2.3003,15,165,0.6000,1.6667,0.2000,1.1375,0.5333,2.3750,2.1292,3,
2014,21,ARQUITETURA E URBANISMO,316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Privada sem fins lucrativos,Universidade,3550308,SAO PAULO,SP,Sudeste,1,174,164,51.0189,41.7360,44.0707,1.7129,5.8140,4.5257,5.7030,4.4791,5.6316,4.4241,52,31.7%,0.3399,2.9980,74,"3,610",0.9324,4.4369,0.5000,2.8438,0.8919,4.3919,3.1546,4,
2014,21,ARQUITETURA E URBANISMO,322,UNIVERSIDADE PAULISTA,UNIP,Privada sem fins lucrativos,Universidade,3504008,ASSIS,SP,Sudeste,1,16,16,59.0000,47.7563,50.5813,2.8013,5.9429,4.8545,5.9219,4.8630,5.8125,4.7069,7,43.8%,3.0535,4.4089,25,298,0.4400,0.3333,0.1200,0.6825,0.6800,3.2000,,,Unidade sem curso(s) reconhecido(s) até 31/12/2014
2014,21,ARQUITETURA E URBANISMO,322,UNIVERSIDADE PAULISTA,UNIP,Privada sem fins lucrativos,Universidade,3506003,BAURU,SP,Sudeste,1,31,31,61.4839,47.2000,50.7871,2.8132,5.5214,3.7799,5.4885,4.1031,5.3422,3.9717,17,54.8%,1.3246,3.5100,28,457,0.7857,3.2143,0.3929,2.2344,0.7500,3.5938,3.2248,4,
2014,21,ARQUITETURA E URBANISMO,322,UNIVERSIDADE PAULISTA,UNIP,Privada sem fins lucrativos,Universidade,3509502,CAMPINAS,SP,Sudeste,1,48,47,65.7149,49.7362,53.7468,3.3021,5.0984,2.7014,4.4872,2.3473,4.6230,2.8474,20,42.6%,2.4595,4.1001,49,862,0.9592,4.6599,0.3469,1.9732,0.8571,4.1964,3.4468,4,
